key,backbone,dataset,pred_len,seed,n_train_datasets,arms,mse_none,mse_gate,mse_best_fixed,mse_oracle,best_fixed_val,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_oracle_vs_none,switch_rate,wilcoxon_p_gate_vs_best_fixed
iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,2021,6,fredf|none|san_lite,0.33990427932360046,0.3493043993695839,0.3422649927790294,0.3089960653353766,fredf,-2.7655197706430057,-2.056712412618454,9.093211197469877,0.7698815566835872,0.1261124776546232
iTransformer__Weather__h336__s2021,iTransformer,Weather,336,2021,6,fredf|none|san_lite,0.28164756853792045,0.284045300111306,0.28164756853792045,0.2620293338013129,none,-0.8513233704889012,-0.8513233704889012,6.965526043196269,0.8137005096040768,0.0017967021890735332
iTransformer__ETTh2__h720__s2021,iTransformer,ETTh2,720,2021,4,fredf|none|san_lite,0.43493852325469906,0.43577382060553066,0.48949936984562864,0.39324581887519566,san_lite,-0.192049521063125,10.975611522632077,9.585884475676206,0.7792688570106432,2.208503783832926e-29
iTransformer__ETTm1__h720__s2021,iTransformer,ETTm1,720,2021,4,fredf|none|san_lite,0.5141235931834494,0.5069035416609181,0.5141235931834494,0.436963672998459,none,1.4043416054514632,1.4043416054514632,15.008048883161855,0.6270715674474586,6.168484446897349e-08
iTransformer__ETTm2__h720__s2021,iTransformer,ETTm2,720,2021,4,fredf|none|san_lite,0.41126009556489423,0.4131300525977599,0.408847280571653,0.3744943353696953,fredf,-0.45468963632190607,-1.047523667054423,8.939783020915081,0.6595685584668086,1.0212599371618522e-54
iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,2021,4,fredf|none|san_lite,0.224536934420811,0.22506636321426515,0.224536934420811,0.22019612566998445,none,-0.23578695185157675,-0.23578695185157675,1.9332270488168228,0.06540409601409382,1.1666609480766606e-30
iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,2021,4,fredf|none|san_lite,0.8616552551960885,0.877585341794449,0.8616552551960885,0.7995674424900447,none,-1.8487772809691452,-1.8487772809691452,7.205644291212766,0.5401002506265664,1.2891105538970294e-07
iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,2021,4,fredf|none|san_lite,0.29941963606666194,0.2921692996762385,0.291221649239853,0.27016207123412694,fredf,2.4214632298815,-0.3254052158745098,9.771424886083112,0.6833034111310592,3.329426349579492e-21
iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,2021,4,fredf|none|san_lite,0.34568484383221526,0.33781714745371294,0.3326275164263906,0.2924250845144823,fredf,2.275973771733625,-1.5601929398571528,15.40702760559255,0.7413566739606127,7.875700040896597e-45
iTransformer__ETTm2__h96__s2021,iTransformer,ETTm2,96,2021,4,fredf|none|san_lite,0.18033481929638714,0.18217428316172676,0.18079358629164993,0.1578521704194452,fredf,-1.0200270100396915,-0.7636868643348341,12.467170214015184,0.7607877461706783,1.2208975571758563e-24
iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,2021,4,fredf|none|san_lite,0.15795021737562376,0.1594084945964444,0.15795021737562376,0.15568705043770797,none,-0.9232511642218663,-0.9232511642218663,1.432835595610093,0.48112294288480156,2.525089098378745e-17
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,2021,4,fredf|none|san_lite,0.11270565847157593,0.11123489051973434,0.11270565847157593,0.07788642523705477,none,1.3049637185691645,1.3049637185691645,30.893953068907837,0.25668073136427566,0.025314988490149834
