key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,11185,200,336,336,10849,False,none,none,False,0.41786389700750437,0.41786389700750437,0.42366597293318553,0.4152297492322147,0.40240574047053196,0.41786389700750437,-1.3885085472131795,-1.3885085472131795,0.6303841499941993,3.699328094060686,-37.534074075576655,2.018892697207379,0.0,-1.3885085472131795,0.5726795096322241,4,4.8435028045710034e-15
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,10801,200,720,720,10081,False,none,fredf,True,0.47939898124964814,0.47939898124964814,0.49179385639575607,0.46996222945204946,0.45914588855314725,0.47735783510230123,-2.5855030216735937,-2.5855030216735937,1.9684547040505245,4.224684133384045,-61.19991317492655,4.553957725724118,0.42577189922723613,-3.0241509056473017,0.6973514532288464,4,2.3849323131915933e-70
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,11425,200,96,96,11329,False,fredf,revin,True,0.1974514566094896,0.18382074282734714,0.18890638730593695,0.17741957335831607,0.15827328693177573,0.1823891730662095,4.327681066647896,-2.766632535773621,3.4822889792195673,19.841924871185036,21.810792524581153,6.248921514993189,0.7787857556828908,-3.5732462240650067,0.8530320416629887,4,1.4153930689056932e-135
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,11329,200,192,192,11137,False,revin,revin,False,0.2801206684686813,0.24859462701629814,0.25974376381592235,0.2399920193811122,0.2141573391789536,0.24859462701629814,7.274331010303302,-4.4848663599026235,3.4604962055705824,23.54818359176777,30.891261662899822,7.945362565473205,0.0,-4.4848663599026235,0.8391846996498159,4,7.510450220726419e-205
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,11185,200,336,336,10849,False,revin,revin,False,0.3733076297837981,0.31337238846423826,0.3292492268695783,0.29330184654909486,0.26678350503297266,0.31337238846423826,11.80217048861774,-5.06644458469934,6.404693793681121,28.53521231597484,41.36002339081861,11.471138378380461,0.0,-5.06644458469934,0.8533505392202047,4,5.4119117289301104e-291
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,10801,200,720,720,10081,False,san_lite,revin,True,0.5545582706292533,0.43310897794057246,0.4744836387065872,0.3871105746467244,0.3614840936379476,0.4292991680259678,14.439354016244605,-9.552944610535484,10.620514844200109,34.81585023912414,41.473506799336086,20.173459454735593,0.879642332216586,-10.52517080065271,0.9161789505009423,4,1.65598440431804e-232
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,5165,200,96,96,5069,False,fredf,fredf,False,0.20069635806880445,0.19785015146850857,0.19797451047472617,0.19783379703695475,0.19634793338237794,0.19785015146850857,1.3562017867467215,-0.06285514835037452,0.00826606976661178,2.166668457887056,62.5938768572563,0.0711212181169863,0.0,-0.06285514835037452,0.9962517261787335,3,2.3968317630262538e-09
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,5069,200,192,192,4877,False,fredf,fredf,False,0.20170065089036676,0.19837815853350227,0.19846534324927922,0.19835829522452297,0.19784189345762332,0.19837815853350227,1.6040144772909184,-0.043948747392870025,0.01001285077250114,1.9131110463405083,83.84324997461458,0.05396159816537116,0.0,-0.043948747392870025,0.9774451507074021,2,8.74847894344336e-20
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,4925,200,336,336,4589,False,fredf,fredf,False,0.2107062292682836,0.2077432847063275,0.20840586104776687,0.20765772404741373,0.20712105166122372,0.2077432847063275,1.0917419140830709,-0.31893995628923666,0.04118576397514297,1.7015052756119622,64.16329878177429,0.3601257202643796,0.0,-0.31893995628923666,0.9254739594682937,3,1.108374984038214e-72
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,4541,200,720,720,3821,False,fredf,fredf,False,0.24808399819151578,0.24623452593786682,0.24798518065163302,0.24590955179372842,0.24469522359685666,0.24623452593786682,0.03983229091868602,-0.7109704486367773,0.13197748889978303,1.3659787085620034,2.916025751884829,0.8429479375365603,0.0,-0.7109704486367773,0.6665794294687255,3,2.4003391463615765e-69
